company,origin,platform_name,founding,funding,parent,market_type,signup_type,different_web,alexa_crank,alexa_cgeo1,alexa_cgeo2,alexa_prank,alexa_pgeo1,alexa_pgeo2,sw_ctraffic_m,sw_ctraffic_s,sw_ctraffic_bounce,sw_cgeo1,sw_cgeo2,sw_ptraffic_m,sw_ptraffic_s,sw_ctraffic_bounce,sw_pgeo1,sw_pgeo2,gender_f,gender_m,age_1824,age_2534,age_3544,age_4554,age_5564,age_65,self_size,deep_platform,deep_company,web,app,qualification,training,other_crowdsource,other_freelance,translation,trascription,dataentry,labels_2D,labels_3D,digitization,debug,moderation,recordings,surveys,websearch,producttag,photography
Labelbox,USA,NA,2017,38900000,NA,BPO,BPO,NA,201563,USA,63.6,NA,NA,NA,58428,20802,31.3,"IND,USA,CHI,CZE,GER,NLD,KOR,FRA,POL,CAN","27.09,24.39,3.89,3.67,2.99,2.8,2.51,2.33,2.22,1.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lionbridge,USA,Lionbridge,1996,NA,H.I.G. Capital,BPO,CLOSED,FALSE,12476,"JAP,USA,IND,BRA,EGY,PHL,ZAF,ISR,MYS,CAN,NGA,MAR,TUR,IDN","21.7,19.9,16.8,8.9,5.7,2.4,1.5,1.4,.3,1.1,1.1,0.8,0.6,0.5",NA,NA,NA,1695000,485125,28.49,"USA,BRA,IND,GER,CHI,GBR,FRA,ESP,MEX,PHL","16.64,10.41,8.01,5.78,5.08,3.71,3.15,3.04,2.99,2.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raterhub,Google,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA
Mirwork,USA,SEO sprint,2007,NA,NA,OPEN,OPEN,FALSE,10620,"RUS,VEN,UKR,CUB,BLR,LTU,KAZ,MEX,EGY,UZB,COL,IRN","50,8.8,8.1,4,2.6,2.4,2,1.7,1.3,1.1,1,0.6",NA,NA,NA,3839000,263647,19.12,"RUS,UKR,BLR,KAZ,MDA,VEN,BGR,ARM,UZB,LVA","56.96,26.24,3.42,2.73,1.35,1.27,0.86,0.78,0.68,0.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,FALSE
Mobeye,FRA,Mobeye,2013,NA,NA,BPO,OPEN,TRUE,3472213,NA,NA,NA,NA,NA,NA,NA,NA,"GBR,FRA,SRB,COL,CHI,ECU,BGR,GER,ITA,BEL","36.87,18.39,11.36,4.99,3.99,3.91,3.41,3.36,3.21,2.24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MonkeyLearn,USA,NA,2014,3200000,NA,BPO,BPO,NA,53531,"USA,IND,PAK,AUS,CAN,IRN","37,19.4,3.7,2.8,2.7,1.1",NA,NA,NA,195080,123103,69.88,"USA,IND,GBR,GER,CHI,CAN,FRA,AUS,NLD,VNM","19.6,19.06,4.61,3.88,2.88,2.87,2.68,2.52,2.08,1.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ninja Partners,USA,Support Ninja,2014,500000,NA,BPO,BPO,NA,314955,USA,80,NA,NA,NA,12901,7516,58.46,"USA,PHL,CAN,POL,GBR,ZAF,BRA,MEX,GER,AUS","51.83,7.69,4.88,2.81,2.66,2.5,2.12,1.88,.67,1.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Pactera,CHI,Pactera Remote,1995,NA,HNA EcoTech,BPO,OPEN,TRUE,36985,CHI,91.5,1631196,NA,NA,184011,50592,31.18,"CHI,SGP,USA,JAP,AUS","72,5,5,4,1",4429,NA,39.67,"USA,POL,PHL,CAN,GER,ZAF,AUS,BRA,BGR,CHI","13.57,12.78,9.73,7.29,5.81,5.38,5.35,4.6,4.54,3.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,UHRS,Microsoft,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE
People Per Hour Limited,GBR,PeoplePerHour,2007,NA,NA,OPEN,OPEN,FALSE,4601,NA,NA,NA,NA,NA,3234000,1058000,38.52,"GBR,IND,PAK,USA,BGD,LKA,EGY,PHL,IRL,PSE","22.56,16.93,9.77,7.92,6.71,2.05,1.66,1.62,1.11,1.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2909437,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Playment,IND,Playment,2015,2500000,NA,BPO,BPO,FALSE,13861,IND,94.7,NA,NA,NA,16439,7337,54.3,"IND,USA,VNM,BEL,KOR","39,13,3,3,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Prolific ACANemic,GBR,Prolific,2014,1200000,NA,OPEN,OPEN,FALSE,9262,"USA,GBR,MEX,GRC,BGR,CAN,TUN,IND","49.2,23.1,4,2.9,2.8,2.3,0.8,0.6",NA,NA,NA,5557748,299367,17.99,"USA,GBR,POL,PRT,CAN","36,23,4,3,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
